"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Image Path","Parent PID"
"2:23:00.5276839 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5276927 PM","RAT.exe","2176","QueryBasicInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:23:00 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5276993 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277068 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277475 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277597 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277657 PM","RAT.exe","2176","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277717 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","SyncType: SyncTypeOther","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277768 PM","RAT.exe","2176","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277897 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5277967 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5278435 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\SystemResources\bzgwgmoddw.exe.mun","PATH NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a","C:\Users\vboxuser\Desktop\RAT.exe","4708"
